propertyid,address,city,state,zipcode,price,bedrooms,bathrooms,squarefeet,geometry
38528354,900 BISCAYNE BLVD APT 2406,Miami,FL,33132,1350000.0,3.0,3.5,2145.0,POINT(-80.190087 25.783418)
38528355,7700 NW 11TH AVE,Miami,FL,33150,435000.0,4.0,2.0,1748.0,POINT(-80.215339 25.844881)
38528357,10229 NW 9TH STREET CIR # 211-2,Miami,FL,33172,42800.0,2.0,2.0,1000.0,POINT(-80.362701 25.778198)
38528356,12709 SW 229TH TER,Miami,FL,33170,400000.0,3.0,2.5,1716.0,POINT(-80.396924 25.553891)
38528363,768 NW 76TH ST,Miami,FL,33150,578501.0567366581,3.0,1.0,1181.0,POINT(-80.210445 25.843866)
38528362,200 SE 15TH RD APT 9J,Miami,FL,33129,297000.0,2.0,2.0,914.0,POINT(-80.191311 25.756546)
38528366,12773 SW 229TH ST,Miami,FL,33170,415500.0,4.0,3.0,2723.0,POINT(-80.39743 25.554373)
38528370,900 NW 132ND AVE W,Miami,FL,33182,157500.0,3.0,2.5,2665.0,POINT(-80.408197 25.778304)
38528375,851 NE 1ST AVE PH 5411,Miami,FL,33132,578501.0567366581,3.253236331756704,2.4041736648413257,6185.0,POINT(-80.191819 25.782462)
38528376,1865 BRICKELL AVE,Miami,FL,33129,960000.0,3.0,3.0,2541.0,POINT(-80.196305 25.754149)
38528378,9900 SW 86TH ST,Miami,FL,33173,325000.0,3.0,2.0,1427.0,POINT(-80.353734 25.688719)
38528380,851 NE 1ST AVE PH 5111,Miami,FL,33132,3800000.0,3.253236331756704,2.4041736648413257,3852.0,POINT(-80.191819 25.782462)
38528387,1690 NE 191ST ST APT 108,Miami,FL,33179,121000.0,2.0,2.0,988.0,POINT(-80.168541 25.950394)
38528385,15331 SW 24TH ST,Miami,FL,33185,185000.0,3.0,2.5,1687.0,POINT(-80.443195 25.744329)
38528389,1000 NW 132ND AVE W,Miami,FL,33182,565000.0,4.0,2.5,2163.0,POINT(-80.408428 25.779567)
38528392,1050 BRICKELL AVE APT 2012,Miami,FL,33131,222000.0,3.253236331756704,1.0,601.0,POINT(-80.192195 25.763279)
38528396,2959 NW 28TH ST,Miami,FL,33142,280000.0,3.0,2.0,1432.0,POINT(-80.243268 25.801884)
38528395,851 NE 1ST AVE UNIT 1912,Miami,FL,33132,1395000.0,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
38528403,200 BISCAYNE BOULEVARD WAY APT 4407,Miami,FL,33131,700000.0,2.0,2.5,1500.0,POINT(-80.189544 25.770527)
38528402,3101 N COUNTRY CLUB DR APT 811,Miami,FL,33180,125000.0,2.0,2.0,1083.0,POINT(-80.137581 25.967032)
38528399,521 NW 59TH AVE,Miami,FL,33126,366000.0,2.0,1.0,1415.0,POINT(-80.291639 25.776521)
38528400,9701 FONTAINEBLEAU BLVD # C202,Miami,FL,33172,1750000.0,2.0,2.0,1067.0,POINT(-80.354194 25.776235)
38528407,680 NW 135TH CT,Miami,FL,33182,355000.0,3.0,2.0,2231.0,POINT(-80.414474 25.773695)
38528413,531 NW 58TH CT,Miami,FL,33126,140000.0,2.0,1.0,1786.0,POINT(-80.290752 25.776549)
38528414,1690 NE 191ST ST APT 112,Miami,FL,33179,150000.0,1.0,1.5,1036.0,POINT(-80.168541 25.950394)
38528415,758 NW 76TH ST,Miami,FL,33150,578501.0567366581,3.0,1.0,1963.0,POINT(-80.210251 25.843897)
38528418,7800 SW 97TH CT,Miami,FL,33173,578501.0567366581,4.0,3.0,2538.0,POINT(-80.350973 25.695695)
38528423,2021 NW 69TH ST,Miami,FL,33147,578501.0567366581,4.0,2.0,1910.0,POINT(-80.23064 25.837292)
38528425,9701 FONTAINEBLEAU BLVD # C201,Miami,FL,33172,95000.0,2.0,1.0,933.0,POINT(-80.354194 25.776235)
38528424,9800 SW 86TH ST,Miami,FL,33173,127900.0,3.0,1.0,1320.0,POINT(-80.352318 25.68881)
38528432,900 BISCAYNE BLVD APT 4804,Miami,FL,33132,550000.0,1.0,1.5,938.0,POINT(-80.190087 25.783418)
38528426,630 NW 58TH CT,Miami,FL,33126,578501.0567366581,3.0,2.0,1532.0,POINT(-80.291309 25.777519)
38528433,600 NW 58TH AVE,Miami,FL,33126,439900.0,4.0,2.0,2324.0,POINT(-80.290401 25.777193)
38528439,2775 NE 187TH ST APT 315,Miami,FL,33180,227500.0,2.0,2.0,1068.0,POINT(-80.143705 25.949229)
38528434,9270 SW 75TH ST,Miami,FL,33173,578501.0567366581,4.0,2.5,3103.0,POINT(-80.343631 25.698987)
38528438,851 NE 1ST AVE UNIT 3912,Miami,FL,33132,1446800.0,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
38528444,7900 SW 97TH CT,Miami,FL,33173,500000.0,3.0,2.0,2857.0,POINT(-80.350998 25.695048)
38528451,2775 NE 187TH ST APT 615,Miami,FL,33180,578501.0567366581,2.0,2.0,1062.0,POINT(-80.143705 25.949229)
38528454,640 NW 58TH AVE,Miami,FL,33126,578501.0567366581,2.0,1.0,1830.0,POINT(-80.290413 25.77755)
38528456,1050 BRICKELL AVE APT 1712,Miami,FL,33131,80000.0,3.253236331756704,1.0,601.0,POINT(-80.192195 25.763279)
38528464,5831 NW 3RD ST,Miami,FL,33126,578501.0567366581,3.0,1.0,1540.0,POINT(-80.291478 25.774492)
38528466,360 NW 58TH CT,Miami,FL,33126,240000.0,2.0,1.0,1427.0,POINT(-80.291223 25.775103)
38528481,601 NW 58TH CT,Miami,FL,33126,578501.0567366581,4.0,2.0,2222.0,POINT(-80.290747 25.777217)
38528476,10227 NW 9TH STREET CIR APT 301,Miami,FL,33172,578501.0567366581,2.0,2.0,1014.0,POINT(-80.362701 25.778198)
38528480,441 NE 110TH TER,Miami,FL,33161,141000.0,2.0,1.0,1572.0,POINT(-80.188955 25.877093)
38528494,365 NE 107TH ST,Miami,FL,33161,0.0,6.0,6.0,2599.0,POINT(-80.190064 25.873353)
38528496,1901 BRICKELL AVE APT B502,Miami,FL,33129,254000.0,1.0,1.5,1064.0,POINT(-80.196305 25.754149)
38528493,2652 SW 153RD PATH,Miami,FL,33185,383000.0,3.0,2.0,3004.0,POINT(-80.444068 25.741575)
38528498,6930 NW 20TH AVE,Miami,FL,33147,111500.0,3.0,1.0,1260.0,POINT(-80.230405 25.837383)
38528503,1322 SW 85TH AVE,Miami,FL,33144,578501.0567366581,4.0,2.0,1998.0,POINT(-80.333668 25.757146)
38528505,851 NE 1ST AVE UNIT 2512,Miami,FL,33132,1160000.0,3.0,4.0,2165.0,POINT(-80.191819 25.782462)
